Registration Timestamp,Topic,Value
2020-02-02 17:55:03.776038,houseMonitor/temperature,23.51
2020-02-02 17:56:03.768472,houseMonitor/temperature,23.51
2020-02-02 17:58:03.768024,houseMonitor/temperature,23.18
2020-02-02 17:59:03.771519,houseMonitor/temperature,23.18
2020-02-02 18:00:03.769092,houseMonitor/temperature,23.51
2020-02-02 18:00:03.793605,houseMonitor/temperature,23.51
2020-02-02 18:01:03.772220,houseMonitor/temperature,24.53
2020-02-02 18:02:03.772408,houseMonitor/temperature,25.93
2020-02-02 18:03:03.771348,houseMonitor/temperature,27.3
2020-02-02 18:04:03.772479,houseMonitor/temperature,28.19
2020-02-02 18:05:03.788737,houseMonitor/temperature,28.53
2020-02-02 18:06:03.779628,houseMonitor/temperature,29.44
2020-02-02 18:07:09.834943,houseMonitor/temperature,0.0
2020-02-02 18:08:03.778521,houseMonitor/temperature,27.74
2020-02-02 18:09:03.774312,houseMonitor/temperature,27.57
2020-02-02 18:10:03.779624,houseMonitor/temperature,26.67
2020-02-02 18:11:03.781952,houseMonitor/temperature,25.11
2020-02-02 18:12:03.785626,houseMonitor/temperature,24.45
2020-02-02 18:13:03.790901,houseMonitor/temperature,24.23
2020-02-02 18:14:03.784139,houseMonitor/temperature,23.93
2020-02-02 18:15:03.789276,houseMonitor/temperature,23.71
2020-02-02 18:16:03.785444,houseMonitor/temperature,23.71
2020-02-02 18:17:03.786718,houseMonitor/temperature,23.49
2020-02-02 18:18:03.791174,houseMonitor/temperature,23.49
2020-02-02 18:21:03.790919,houseMonitor/temperature,23.29
2020-02-02 18:22:03.798379,houseMonitor/temperature,23.29
2020-02-02 18:23:03.792925,houseMonitor/temperature,23.18
2020-02-02 18:24:03.808600,houseMonitor/temperature,23.18
2020-02-02 18:25:03.922468,houseMonitor/temperature,23.18
2020-02-02 18:26:03.946767,houseMonitor/temperature,23.18
2020-02-02 18:27:03.966872,houseMonitor/temperature,23.18
2020-02-02 18:28:03.979636,houseMonitor/temperature,23.18
2020-02-02 18:29:03.934165,houseMonitor/temperature,23.07
2020-02-02 18:30:03.931303,houseMonitor/temperature,23.07
2020-02-02 18:31:03.929851,houseMonitor/temperature,22.94
2020-02-02 18:32:03.929733,houseMonitor/temperature,22.72
2020-02-02 18:33:03.931823,houseMonitor/temperature,22.61
2020-02-02 18:34:03.939378,houseMonitor/temperature,22.61
2020-02-02 18:35:03.932328,houseMonitor/temperature,22.58
2020-02-02 18:36:03.936506,houseMonitor/temperature,22.36
2020-02-02 18:37:03.938762,houseMonitor/temperature,22.36
2020-02-02 18:38:03.935922,houseMonitor/temperature,22.36
2020-02-02 18:39:03.943203,houseMonitor/temperature,22.36
